x, y
45.13175458166676 54.52515667995342
47.53477086945357 54.9781987151176
52.512517064596345 56.77417304047168
50.667230082258264 65.98773689764901
39.86893946707852 49.12234445222663
52.17118755203814 52.00743179717346
58.109999898241874 63.01881049955604
40.82970527411354 63.08745593862032
50.562003131921564 57.58166968931426
42.101616906694254 50.52842995223128
46.227858305306114 57.092844816639
39.57550618638659 60.45896942888419
44.959416843256996 53.57261611213991
44.48204491577428 47.58306155114102
37.04507569047221 61.504654335039426
46.00648025098056 54.63115239127242
43.09944235422132 62.77251707327295
48.89683531841032 54.01327022567099
44.522032126692714 57.09519748178087
51.574467950455315 56.353793526418904
54.09487748535098 61.67617696714955
51.12562745391272 61.300457766793464
50.04623046739536 76.05297729102445
47.76692716505971 47.29355041350054
42.24016264117089 42.412214766284045
50.040862112762596 45.216917735655294
61.89294669733064 53.38680862590481
47.116776938179086 59.654878603840125
62.228332259075465 66.83599416503189
48.215191408368405 63.286551191606996
47.81314465727226 52.81831873698965
42.37014887891455 61.3774894019119
61.85125411458015 52.180422217839315
53.123350649723655 63.84040156152379
62.37501654820215 66.03759301202629
62.753606722770584 62.04571903667596
56.72096140478654 64.30112931872223
53.4461715688988 54.5795086484244
43.635989393487655 68.49776800074481
55.15349456685633 58.47726794298388
52.540554848328455 67.24946643262754
44.35947910069568 55.522832757905256
57.629333266617344 62.53154943232296
56.20620207440332 69.43334002878345
48.35892533214544 60.91702282854408
49.51865991385632 59.88861253802701
50.98855377917446 42.652836654327515
55.663499199288005 74.92163093267452
53.98292679356013 62.65028890625679
53.99077567559664 53.472247835163294
47.77947115434661 58.80346983440685
38.140621213269455 64.9405014480311
54.545605909079306 67.15246167842247
48.5701309623554 52.21944073025131
48.89625494770658 61.78823926780407
40.75121293410574 64.16501053438695
47.304344249792884 68.81855152651599
43.85915119107715 66.54444395004651
55.035139857328794 58.11872398608204
46.87112854388238 63.94167672763547
60.14945318039926 69.70524000211446
46.873114366318354 52.26357779994181
47.02154302217362 58.418346011054126
47.38547600046561 64.42911127848771
50.67226247306657 62.49719703884664
51.015571494632724 59.74110288180492
46.986928983524905 66.08713775891931
39.394875335489665 60.490829862876495
64.51771731093012 67.83190513787324
45.4865249051609 63.00351836154416
50.771566961174535 60.7713753465685
50.52793177856503 69.79466616212308
60.89743802222522 61.849467593087965
46.12134594461257 52.733314090126456
65.18074200558368 61.57371163068545
51.30265924385099 64.67819626206736
57.765054575866635 63.32641329055086
43.96061242997964 63.42451365711441
47.217924200379784 56.594848178495454
50.63819082547658 59.97544375569583
55.768193447006894 67.12531953041092
38.2709859907932 54.82119322761108
42.12788110642426 70.582943412835
44.44055722454802 62.731378909447116
30.976618585855554 60.81033947985515
49.9157736997618 59.61637134856838
49.7916376075634 58.262989305332134
59.97878746129556 51.93054094695779
50.85049449815733 42.400342897730674
52.25910895043508 59.750489336454585
50.538300892486504 42.839700213179334
44.40012848290751 56.28078257367486
48.235242277360825 70.33808035053121
54.05058747506923 51.06841851828506
44.46294214461689 54.80674127586298
50.755397696752794 65.4521435620698
47.50652708156797 65.53571894998787
44.92274833196946 58.776623983626564
62.18684511219918 69.42035494454059
46.8867482018013 57.401114471892
